Cycle,Battery-M,M8020-train,M8020-valid,M8020-predict,M5050-train,M5050-valid,M5050-predict,M2080-train,M2080-valid,M2080-predict
417,37.4243,37.4243,,,37.4243,,,,37.4243,37.212345
418,37.4531,37.4531,,,37.4531,,,,37.4531,37.21035
419,37.4766,37.4766,,,37.4766,,,,37.4766,37.208946
420,37.4881,37.4881,,,37.4881,,,,37.4881,37.20902
421,37.5046,37.5046,,,37.5046,,,,37.5046,37.21048
422,37.5068,37.5068,,,37.5068,,,,37.5068,37.213387
423,37.5391,37.5391,,,37.5391,,,,37.5391,37.21705
424,37.5195,37.5195,,,37.5195,,,,37.5195,37.22233
425,37.5516,37.5516,,,37.5516,,,,37.5516,37.227314
426,37.5582,37.5582,,,37.5582,,,,37.5582,37.23322
427,37.5302,37.5302,,,37.5302,,,,37.5302,37.23952
428,37.5972,37.5972,,,37.5972,,,,37.5972,37.244404
429,37.6448,37.6448,,,37.6448,,,,37.6448,37.251076
430,37.6053,37.6053,,,37.6053,,,,37.6053,37.260403
431,37.5102,37.5102,,,37.5102,,,,37.5102,37.268913
432,37.457,37.457,,,37.457,,,,37.457,37.272205
433,37.4468,37.4468,,,37.4468,,,,37.4468,37.269913
434,37.4345,37.4345,,,37.4345,,,,37.4345,37.264065
435,37.4705,37.4705,,,37.4705,,,,37.4705,37.255997
436,37.4347,37.4347,,,37.4347,,,,37.4347,37.248783
437,37.4423,37.4423,,,37.4423,,,,37.4423,37.240997
438,37.4399,37.4399,,,37.4399,,,,37.4399,37.23379
439,37.4481,37.4481,,,37.4481,,,,37.4481,37.227314
440,37.46,37.46,,,37.46,,,,37.46,37.222073
441,37.4519,37.4519,,,37.4519,,,,37.4519,37.21844
442,37.4451,37.4451,,,37.4451,,,,37.4451,37.215633
443,37.4525,37.4525,,,37.4525,,,,37.4525,37.213203
444,37.4595,37.4595,,,37.4595,,,,37.4595,37.211464
445,37.4625,37.4625,,,37.4625,,,,37.4625,37.210552
446,37.523,37.523,,,37.523,,,,37.523,37.210297
447,37.5432,37.5432,,,37.5432,,,,37.5432,37.213097
448,37.5778,37.5778,,,37.5778,,,,37.5778,37.218357
449,37.5658,37.5658,,,37.5658,,,,37.5658,37.226215
450,37.5696,37.5696,,,37.5696,,,,37.5696,37.234512
451,37.5695,37.5695,,,37.5695,,,,37.5695,37.242664
452,37.5856,37.5856,,,37.5856,,,,37.5856,37.250153
453,37.5687,37.5687,,,37.5687,,,,37.5687,37.25744
454,37.5633,37.5633,,,37.5633,,,,37.5633,37.263348
455,37.58,37.58,,,37.58,,,,37.58,37.267822
456,37.5838,37.5838,,,37.5838,,,,37.5838,37.271896
457,37.5975,37.5975,,,37.5975,,,,37.5975,37.275623
